,Anon,kolejności,Data zakupu,bottle_filter_units,next_purchase_date,days_until_next_purchase,filter_retention_days
9090,ANON_2104,231407748,2024-11-02,6,2025-06-16,226.0,37.666666666666664
2261,ANON_2109,135503560,2023-08-29,2,2024-08-19,356.0,178.0
2264,ANON_2112,135560799,2023-08-29,4,2025-05-28,638.0,159.5
2266,ANON_2114,135587857,2023-08-29,6,2024-02-24,179.0,29.833333333333332
2268,ANON_2115,135597130,2023-08-29,6,2024-04-25,240.0,40.0
2275,ANON_2120,135665148,2023-08-30,6,2023-10-05,36.0,6.0
2839,ANON_2120,144269170,2023-10-05,6,2024-04-18,196.0,32.666666666666664
2284,ANON_2129,135836388,2023-08-30,3,2025-05-09,618.0,206.0
2286,ANON_2131,135861043,2023-08-30,3,2024-03-20,203.0,67.66666666666667
5359,ANON_2131,185070178,2024-03-20,6,2024-09-01,165.0,27.5
2293,ANON_2138,135949459,2023-08-31,6,2025-07-15,684.0,114.0
3926,ANON_2139,165168689,2023-12-18,2,2024-02-28,72.0,36.0
2295,ANON_2140,135990464,2023-08-31,6,2024-04-10,223.0,37.166666666666664
5747,ANON_2140,189337206,2024-04-10,6,2024-08-16,128.0,21.333333333333332
2296,ANON_2141,136010352,2023-08-31,3,2024-02-02,155.0,51.666666666666664
2301,ANON_2146,136102038,2023-08-31,6,2024-03-18,200.0,33.333333333333336
5318,ANON_2146,184546559,2024-03-18,6,2024-10-07,203.0,33.833333333333336
2316,ANON_2159,136290702,2023-09-01,3,2024-05-09,251.0,83.66666666666667
2331,ANON_2170,136435974,2023-09-02,2,2023-10-06,34.0,17.0
2860,ANON_2170,144577863,2023-10-06,1,2023-10-14,8.0,8.0
2336,ANON_2174,136481250,2023-09-02,4,2023-09-14,12.0,3.0
2344,ANON_2182,136591824,2023-09-03,2,2024-09-01,364.0,182.0
2345,ANON_2183,136604888,2023-09-03,4,2023-12-17,105.0,26.25
2353,ANON_2191,136721377,2023-09-03,2,2025-04-22,597.0,298.5
2377,ANON_2213,137061497,2023-09-05,5,2025-06-27,661.0,132.2
7635,ANON_2222,215084487,2024-08-10,3,2025-08-11,366.0,122.0
2953,ANON_2225,145935616,2023-10-11,6,2024-01-07,88.0,14.666666666666666
2393,ANON_2227,137305642,2023-09-05,6,2025-05-08,611.0,101.83333333333333
4218,ANON_2228,169260680,2024-01-08,6,2025-04-23,471.0,78.5
2419,ANON_2248,137738070,2023-09-07,18,2023-09-14,7.0,0.3888888888888889
2534,ANON_2248,139450269,2023-09-14,15,2024-12-06,449.0,29.933333333333334
2433,ANON_2260,137932961,2023-09-08,7,2025-05-22,622.0,88.85714285714286
3400,ANON_2263,153695430,2023-11-13,3,2024-02-22,101.0,33.666666666666664
4894,ANON_2263,179107556,2024-02-22,3,2024-07-04,133.0,44.333333333333336
2456,ANON_2281,138256891,2023-09-10,3,2023-12-07,88.0,29.333333333333332
3706,ANON_2281,160819755,2023-12-07,4,2024-03-31,115.0,28.75
5553,ANON_2281,187199389,2024-03-31,6,2024-09-19,172.0,28.666666666666668
2457,ANON_2282,138270760,2023-09-10,6,2023-12-04,85.0,14.166666666666666
3668,ANON_2282,160033270,2023-12-04,6,2024-02-21,79.0,13.166666666666666
4878,ANON_2282,178844824,2024-02-21,6,2025-04-08,412.0,68.66666666666667
2460,ANON_2284,138296519,2023-09-10,6,2023-10-04,24.0,4.0
2829,ANON_2284,144123433,2023-10-04,3,2024-09-01,333.0,111.0
2461,ANON_2285,138313695,2023-09-10,3,2024-07-07,301.0,100.33333333333333
2462,ANON_2286,138331136,2023-09-10,6,2024-02-17,160.0,26.666666666666668
4804,ANON_2286,177900150,2024-02-17,6,2024-09-08,204.0,34.0
2466,ANON_2289,138380928,2023-09-10,2,2023-11-24,75.0,37.5
2481,ANON_2301,138620760,2023-09-11,4,2025-04-08,575.0,143.75
2483,ANON_2303,138649057,2023-09-11,6,2024-03-04,175.0,29.166666666666668
2488,ANON_2308,138710971,2023-09-11,2,2024-01-06,117.0,58.5
2489,ANON_2309,138730252,2023-09-11,6,2025-07-02,660.0,110.0
13329,ANON_2309,276423020,2025-07-02,3,2025-08-10,39.0,13.0
2500,ANON_2318,138914801,2023-09-12,6,2023-12-20,99.0,16.5
2515,ANON_2330,139119681,2023-09-13,11,2025-07-14,670.0,60.90909090909091
2528,ANON_2342,139344501,2023-09-14,1,2025-04-19,583.0,583.0
2548,ANON_2357,139685476,2023-09-15,6,2025-06-26,650.0,108.33333333333333
2549,ANON_2358,139713199,2023-09-15,7,2024-02-21,159.0,22.714285714285715
2556,ANON_2364,139804955,2023-09-16,6,2023-10-02,16.0,2.6666666666666665
2788,ANON_2364,143548720,2023-10-02,4,2025-09-15,714.0,178.5
2557,ANON_2365,139819479,2023-09-16,2,2023-12-04,79.0,39.5
3665,ANON_2365,159979086,2023-12-04,3,2024-08-01,241.0,80.33333333333333
2559,ANON_2367,139860559,2023-09-16,3,2024-09-03,353.0,117.66666666666667
2565,ANON_2373,139962169,2023-09-17,3,2025-05-22,613.0,204.33333333333334
2603,ANON_2407,140564962,2023-09-19,3,2024-04-18,212.0,70.66666666666667
2614,ANON_2417,140750250,2023-09-20,10,2023-09-28,8.0,0.8
2719,ANON_2417,142602897,2023-09-28,7,2025-03-07,526.0,75.14285714285714
11288,ANON_2417,256530399,2025-03-07,12,2025-11-11,249.0,20.75
2622,ANON_2423,140863851,2023-09-20,6,2025-05-02,590.0,98.33333333333333
2623,ANON_2424,140877273,2023-09-20,6,2024-02-17,150.0,25.0
2634,ANON_2434,141096374,2023-09-21,6,2024-01-02,103.0,17.166666666666668
2650,ANON_2448,141341371,2023-09-22,6,2024-07-14,296.0,49.333333333333336
2670,ANON_2466,141698397,2023-09-24,6,2024-09-02,344.0,57.333333333333336
2671,ANON_2467,141726158,2023-09-25,3,2024-03-12,169.0,56.333333333333336
2680,ANON_2476,141912025,2023-09-25,2,2024-05-08,226.0,113.0
6157,ANON_2476,195341699,2024-05-08,7,2024-12-09,215.0,30.714285714285715
9750,ANON_2476,240401782,2024-12-09,12,2025-09-16,281.0,23.416666666666668
2693,ANON_2487,142140315,2023-09-26,6,2023-10-03,7.0,1.1666666666666667
2734,ANON_2522,142817425,2023-09-29,12,2025-02-11,501.0,41.75
2736,ANON_2524,142857033,2023-09-29,5,2025-01-24,483.0,96.6
2761,ANON_2546,143185159,2023-10-01,6,2025-01-13,470.0,78.33333333333333
10410,ANON_2546,247462489,2025-01-13,6,2025-09-02,232.0,38.666666666666664
2767,ANON_2552,143278325,2023-10-01,3,2024-03-03,154.0,51.333333333333336
5032,ANON_2552,181062506,2024-03-03,6,2024-09-05,186.0,31.0
8215,ANON_2552,220123666,2024-09-05,5,2025-03-10,186.0,37.2
2773,ANON_2558,143374853,2023-10-02,6,2023-12-06,65.0,10.833333333333334
2808,ANON_2585,143808994,2023-10-03,6,2025-03-07,521.0,86.83333333333333
2828,ANON_2605,144114778,2023-10-04,1,2024-02-24,143.0,143.0
2830,ANON_2606,144125651,2023-10-04,3,2024-07-11,281.0,93.66666666666667
2840,ANON_2614,144270030,2023-10-05,2,2024-03-15,162.0,81.0
2851,ANON_2624,144428413,2023-10-05,6,2023-10-05,0.0,0.0
2852,ANON_2624,144430948,2023-10-05,11,2025-03-02,514.0,46.72727272727273
11197,ANON_2624,255661780,2025-03-02,6,2025-09-07,189.0,31.5
14819,ANON_2624,286876454,2025-09-07,12,2025-09-07,0.0,0.0
2857,ANON_2629,144518926,2023-10-06,2,2025-10-26,751.0,375.5
3263,ANON_2634,151435728,2023-11-05,4,2024-11-05,366.0,91.5
9142,ANON_2634,232122163,2024-11-05,6,2025-11-28,388.0,64.66666666666667
2868,ANON_2636,144647050,2023-10-07,6,2025-11-18,773.0,128.83333333333334
2877,ANON_2643,144749937,2023-10-07,6,2024-11-28,418.0,69.66666666666667
2882,ANON_2648,144830152,2023-10-08,6,2025-03-07,516.0,86.0
2887,ANON_2652,144881957,2023-10-08,2,2024-11-04,393.0,196.5
